ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,2014-10-10,2014-10-13,3.0,3,8,US,Entire home/apt,3-5 nights,2014,10,4.0,10.0,9.0,True
2014-10-01,2014-12-30,2015-01-02,3.0,2,2,PT,Entire home/apt,3-5 nights,2014,10,1.0,12.0,90.0,True
2014-10-01,2014-10-03,2014-10-09,6.0,1,1,HU,Entire home/apt,6-14 nights,2014,10,4.0,10.0,2.0,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-27,2014-10-30,3.0,4,4,GB,No Filter,3-5 nights,2014,10,0.0,10.0,26.0,False
2014-10-01,,,,1,1,US,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-04,2014-10-05,1.0,5,5,US,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,,,,1,1,SG,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-22,2014-11-24,2.0,1,1,SG,Private room,1-2 nights,2014,10,5.0,11.0,52.0,True
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-29,2014-10-31,2.0,1,1,IE,No Filter,1-2 nights,2014,10,2.0,10.0,28.0,False
2014-10-01,2014-11-14,2014-11-16,2.0,1,1,IE,No Filter,1-2 nights,2014,10,4.0,11.0,44.0,False
2014-10-01,2014-11-14,2014-11-30,16.0,1,1,IE,No Filter,15+ nights,2014,10,4.0,11.0,44.0,False
2014-10-01,2014-11-21,2014-11-23,2.0,1,1,IE,No Filter,1-2 nights,2014,10,4.0,11.0,51.0,False
2014-10-01,2014-11-28,2014-11-30,2.0,1,1,IE,No Filter,1-2 nights,2014,10,4.0,11.0,58.0,False
2014-10-01,2014-12-03,2014-12-21,18.0,1,1,IE,No Filter,15+ nights,2014,10,2.0,12.0,63.0,False
2014-10-01,2014-12-29,2015-01-02,4.0,1,5,DE,No Filter,3-5 nights,2014,10,0.0,12.0,89.0,True
2014-10-01,,,,1,1,US,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2015-01-09,2015-01-18,9.0,1,2,US,Entire home/apt,6-14 nights,2014,10,4.0,1.0,100.0,True
2014-10-01,2015-01-10,2015-01-18,8.0,1,1,US,Entire home/apt,6-14 nights,2014,10,5.0,1.0,101.0,False
2014-10-01,2014-12-01,2014-12-07,6.0,2,2,IT,No Filter,6-14 nights,2014,10,0.0,12.0,61.0,True
2014-10-01,2014-10-03,2014-10-13,10.0,1,1,ES,No Filter,6-14 nights,2014,10,4.0,10.0,2.0,True
2014-10-01,2014-11-04,2014-11-06,2.0,2,2,DE,No Filter,1-2 nights,2014,10,1.0,11.0,34.0,True
2014-10-01,2014-11-04,2015-01-02,59.0,2,2,DE,No Filter,15+ nights,2014,10,1.0,11.0,34.0,False
2014-10-01,2014-12-31,2015-01-02,2.0,2,2,DE,No Filter,1-2 nights,2014,10,2.0,12.0,91.0,True
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-04,2014-10-05,1.0,1,1,IE,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,2015-05-26,2015-05-29,3.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,1.0,5.0,237.0,True
2014-10-01,2014-10-13,2014-10-15,2.0,2,2,DE,No Filter,1-2 nights,2014,10,0.0,10.0,12.0,False
2014-10-01,2014-10-16,2014-10-23,7.0,1,1,IE,No Filter,6-14 nights,2014,10,3.0,10.0,15.0,True
2014-10-01,2014-10-17,2014-10-19,2.0,1,1,IE,Entire home/apt,1-2 nights,2014,10,4.0,10.0,16.0,False
2014-10-01,,,,1,1,ES,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-03,2014-10-05,2.0,1,2,ES,Private room,1-2 nights,2014,10,4.0,10.0,2.0,True
2014-10-01,2015-01-28,2015-02-02,5.0,1,1,AU,Entire home/apt,3-5 nights,2014,10,2.0,1.0,119.0,True
2014-10-01,2015-02-28,2015-03-05,5.0,10,10,GB,No Filter,3-5 nights,2014,10,5.0,2.0,150.0,False
2014-10-01,,,,1,1,SG,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-01,2014-11-04,3.0,1,1,CA,Entire home/apt,3-5 nights,2014,10,5.0,11.0,31.0,True
2014-10-01,,,,1,1,US,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-03,2014-10-04,1.0,1,2,US,No Filter,1-2 nights,2014,10,4.0,10.0,2.0,True
2014-10-01,,,,1,1,US,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,CA,No Filter,nan,2014,10,,,,False
2014-10-01,2015-03-20,2015-03-23,3.0,1,1,CA,Private room,3-5 nights,2014,10,4.0,3.0,170.0,True
2014-10-01,,,,1,1,CH,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-11,2014-10-15,4.0,1,1,CH,No Filter,3-5 nights,2014,10,5.0,10.0,10.0,False
2014-10-01,2015-03-09,2015-03-13,4.0,2,2,AR,Entire home/apt,3-5 nights,2014,10,0.0,3.0,159.0,True
2014-10-01,2014-10-03,2014-10-05,2.0,1,1,GB,Entire home/apt,1-2 nights,2014,10,4.0,10.0,2.0,False
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,GB,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2014-10-03,2014-11-01,29.0,1,1,GB,Entire home/apt,15+ nights,2014,10,4.0,10.0,2.0,False
2014-10-01,2014-10-03,2014-11-08,36.0,1,1,GB,Entire home/apt,15+ nights,2014,10,4.0,10.0,2.0,False
2014-10-01,2014-10-04,2014-10-05,1.0,1,1,GB,Entire home/apt,1-2 nights,2014,10,5.0,10.0,3.0,True
2014-10-01,2014-10-31,2014-11-02,2.0,1,1,GB,Entire home/apt,1-2 nights,2014,10,4.0,10.0,30.0,True
2014-10-01,2014-10-31,2014-11-05,5.0,1,1,GB,Entire home/apt,3-5 nights,2014,10,4.0,10.0,30.0,True
2014-10-01,2014-10-31,2014-11-08,8.0,1,1,GB,Entire home/apt,6-14 nights,2014,10,4.0,10.0,30.0,True
2014-10-01,,,,1,2,GB,Entire home/apt,nan,2014,10,,,,True
2014-10-01,2014-10-16,2014-10-18,2.0,1,2,GB,Entire home/apt,1-2 nights,2014,10,3.0,10.0,15.0,True
2014-10-01,2014-10-18,2014-10-21,3.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,5.0,10.0,17.0,True
2014-10-01,2015-07-07,2015-07-09,2.0,4,4,CA,Entire home/apt,1-2 nights,2014,10,1.0,7.0,279.0,True
2014-10-01,2015-07-07,2015-07-16,9.0,4,4,CA,Entire home/apt,6-14 nights,2014,10,1.0,7.0,279.0,True
2014-10-01,2015-07-07,2015-07-17,10.0,4,4,CA,Entire home/apt,6-14 nights,2014,10,1.0,7.0,279.0,True
2014-10-01,2014-10-24,2014-10-25,1.0,4,4,GB,Entire home/apt,1-2 nights,2014,10,4.0,10.0,23.0,True
2014-10-01,2014-10-17,2014-10-19,2.0,1,1,KR,No Filter,1-2 nights,2014,10,4.0,10.0,16.0,False
2014-10-01,2014-10-24,2014-10-26,2.0,2,2,DE,No Filter,1-2 nights,2014,10,4.0,10.0,23.0,False
2014-10-01,2014-11-22,2014-11-23,1.0,2,2,DE,No Filter,1-2 nights,2014,10,5.0,11.0,52.0,False
